序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 这项AI文旅服务容易找到、容易启动，我不需要花费太多时间寻找入口。,2. 第一次使用这项服务时，我很快就学会了基本操作。,3. 这项服务响应及时、运行稳定，很少出现卡顿、掉线或重复操作。,4. 这项服务提供的信息、讲解、识别、推荐或执行结果准确可信。,5. 这项服务与当时的场所、游览流程和我的实际需要相匹配。,6. 这项服务减少了我在游览、参观或住宿中的操作负担，使过程更轻松。,7. 使用过程中，我能自主决定节奏和关注内容，不容易感到困惑或失去控制。,8. 这项服务增强了我对现场空间、展项、故事或目的地的沉浸感。,9. 这项服务使本次体验更有趣，激发了我的好奇心和继续探索的愿望。,10. 这项服务让我与人物、故事、地方或同行者产生了更强的情感联系。,11. 这项服务帮助我理解了具体的历史事件、人物、技艺或文化概念。,12. 这项服务帮助我把零散信息联系到更完整的历史、地域或社会背景中。,13. 体验结束后，我还能回想起至少一个通过这项服务新了解到的具体文化知识点。,14. 这项服务尊重史实和文化语境，能够体现真实的地方特色，没有明显歪曲或过度简化。,15. 体验后，我更愿意继续学习、保护、参与相关文化活动，或向他人介绍这些文化内容。,16. 这项服务提高了我在有限时间内获得有效体验的效率，减少了排队、迷路或无效移动。,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,18. 这项服务增强了我延长停留、参与餐饮/文创/演出等延伸消费或为有价值服务付费的意愿。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,20. 总体而言，这项AI文旅服务明显改善了我的体验，并提升了我对该场所文旅服务价值的认可。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,target_score,raw_q1,raw_q10,raw_q11,raw_q12,raw_q13,raw_q14,raw_q15,raw_q16,raw_q2,raw_q3,raw_q4,raw_q5,raw_q6,raw_q7,raw_q8,raw_q9,raw_q17,raw_q18,raw_q19,raw_q20,valid_items
81,2026/8/6 18:17:55,66秒,手机提交,直接访问,223.104.194.67(山东-济南),2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,(空),40.0,40.0,30.0,30.0,35.5,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
82,2026/8/6 18:18:19,784秒,手机提交,直接访问,101.27.97.219(河北-保定),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,(空),40.0,40.0,40.0,35.0,39.0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,16
83,2026/8/6 18:18:48,25秒,手机提交,直接访问,123.168.226.220(山东-潍坊),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
84,2026/8/6 18:18:58,135秒,手机提交,直接访问,153.119.38.206(山东-菏泽),2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,暂无,35.0,45.0,40.0,40.0,40.25,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,3,2,3,16
85,2026/8/6 18:19:49,26秒,微信,,112.238.147.231(山东-烟台),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
86,2026/8/6 18:21:16,84秒,手机提交,直接访问,220.195.77.60(内蒙古-呼和浩特),2,2,2,2,2,2,2,2,1,3,2,3,1,2,2,3,2,2,2,2,(空),40.0,40.0,45.0,40.0,41.25,2,3,2,3,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,16
87,2026/8/6 18:22:13,39秒,微信,,223.104.195.166(山东-泰安),3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,(空),60.0,60.0,50.0,40.0,53.5,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,16
88,2026/8/6 18:22:21,53秒,微信,,223.104.195.202(山东-泰安),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
89,2026/8/6 18:24:04,148秒,微信,,120.225.34.235(山东-德州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
90,2026/8/6 18:25:42,243秒,微信,,14.135.224.163(宁夏-中卫),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
91,2026/8/6 18:26:25,37秒,微信,,123.234.87.15(山东-青岛),1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,(空),20.0,25.0,20.0,35.0,24.5,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,16
92,2026/8/6 18:26:44,35秒,微信,,123.168.189.78(山东-济宁),2,2,3,2,2,1,3,2,4,3,4,2,2,4,4,2,2,3,2,3,无,45.0,40.0,65.0,60.0,51.5,2,3,4,2,2,4,4,2,2,3,2,2,1,3,2,4,2,3,2,3,16
93,2026/8/6 18:27:16,22秒,微信,,123.168.189.78(山东-济宁),1,2,1,2,2,2,3,3,2,3,3,3,1,2,3,3,3,2,2,1,无,30.0,50.0,55.0,45.0,45.25,1,3,3,3,1,2,3,3,2,1,2,2,2,3,3,2,3,2,2,1,16
94,2026/8/6 18:28:03,138秒,微信,,42.63.181.49(宁夏-银川),2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,3,2,4,3,3,(空),50.0,50.0,40.0,45.0,46.5,2,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,2,4,3,3,16
95,2026/8/6 18:28:28,41秒,微信,,112.224.8.68(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,16
96,2026/8/6 18:28:32,42秒,微信,,123.168.226.82(山东-潍坊),1,3,4,2,2,2,3,2,4,4,2,2,1,1,2,3,2,2,3,2,无,50.0,45.0,60.0,35.0,48.0,1,4,2,2,1,1,2,3,3,4,2,2,2,3,2,4,2,2,3,2,16
97,2026/8/6 18:28:40,33秒,微信,,39.144.0.208(山东-菏泽),1,1,1,2,3,2,2,2,3,1,1,2,2,1,1,1,1,3,2,2,无,25.0,45.0,35.0,25.0,33.5,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,3,1,3,2,2,16
98,2026/8/6 18:29:16,29秒,微信,,223.104.194.215(山东-济南),1,1,2,2,3,3,3,4,3,3,3,3,3,2,2,4,2,3,2,3,(空),30.0,65.0,60.0,55.0,53.0,1,3,3,3,3,2,2,4,1,2,2,3,3,3,4,3,2,3,2,3,16
99,2026/8/6 18:29:17,23秒,微信,,223.81.93.135(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,无,20.0,20.0,20.0,35.0,23.0,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
100,2026/8/6 18:30:12,38秒,微信,,39.144.140.10(四川-广元),1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,30.0,25.0,20.0,24.25,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,16
101,2026/8/6 18:30:55,267秒,手机提交,直接访问,144.0.253.160(山东-菏泽),3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,无,45.0,40.0,40.0,40.0,41.25,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,16
102,2026/8/6 18:31:10,154秒,微信,,223.104.196.61(山东-济宁),2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,(空),30.0,20.0,35.0,20.0,26.25,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,16
103,2026/8/6 18:31:13,28秒,微信,,111.34.2.24(山东-德州),1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,无,20.0,20.0,35.0,25.0,24.75,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,16
104,2026/8/6 18:32:58,272秒,微信,,112.224.10.19(山东-济南),2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),40.0,30.0,20.0,20.0,28.0,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,16
105,2026/8/6 18:35:36,214秒,微信,,112.20.94.206(江苏-南京),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
106,2026/8/6 18:36:04,209秒,微信,,27.206.107.137(山东-菏泽),3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,3,2,3,无,60.0,60.0,50.0,45.0,54.5,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,16
107,2026/8/6 18:36:53,186秒,微信,,125.121.96.72(浙江-杭州),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,无,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
108,2026/8/6 18:36:57,155秒,微信,,39.144.109.11(山东-聊城),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
109,2026/8/6 18:38:05,198秒,微信,,1.50.188.205(宁夏-中卫),2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,(空),40.0,30.0,40.0,35.0,36.0,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,16
110,2026/8/6 18:38:16,45秒,微信,,61.242.129.87(湖北-武汉),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,无,60.0,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,16
111,2026/8/6 18:39:03,118秒,微信,,144.12.224.198(山东-滨州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
112,2026/8/6 18:39:05,150秒,微信,,112.229.198.35(山东-济南),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,无,60.0,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,16
113,2026/8/6 18:40:01,32秒,手机提交,直接访问,218.81.81.85(上海-上海),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
114,2026/8/6 18:40:21,22秒,微信,,39.78.61.36(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
115,2026/8/6 18:40:54,33秒,微信,,61.162.151.210(山东-威海),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,(空),40.0,40.0,40.0,45.0,41.0,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,16
116,2026/8/6 18:41:06,98秒,微信,,223.104.195.167(山东-泰安),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
117,2026/8/6 18:41:16,84秒,微信,,39.144.108.146(山东-东营),1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,可能对老人不太友好,25.0,40.0,40.0,40.0,36.25,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,16
118,2026/8/6 18:41:53,215秒,微信,,182.34.110.132(山东-烟台),2,3,3,2,2,2,2,3,3,1,3,2,2,1,3,2,2,2,2,2,(空),50.0,45.0,45.0,40.0,45.25,2,1,3,2,2,1,3,2,3,3,2,2,2,2,3,3,2,2,2,2,16
119,2026/8/6 18:41:56,26秒,微信,,144.0.10.15(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
120,2026/8/6 18:42:18,31秒,微信,,117.136.120.171(上海-上海),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
121,2026/8/6 18:42:39,306秒,微信,,119.183.48.204(山东-德州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
122,2026/8/6 18:42:44,71秒,微信,,117.136.92.150(山东-青岛),2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,没有,35.0,20.0,20.0,20.0,23.75,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,16
123,2026/8/6 18:43:16,258秒,微信,,223.104.194.98(山东-济南),2,3,4,1,2,2,2,2,3,2,2,3,2,2,4,1,2,1,1,2,实际上还是要加强引导，老人和小孩不能自由使用,50.0,40.0,50.0,45.0,46.0,2,2,2,3,2,2,4,1,3,4,1,2,2,2,2,3,2,1,1,2,16
124,2026/8/6 18:43:23,703秒,微信,,120.225.133.195(山东-济南),2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,(空),55.0,50.0,40.0,45.0,47.75,2,2,2,2,2,2,3,2,3,3,3,2,2,3,3,2,2,3,2,2,16
125,2026/8/6 18:43:35,46秒,微信,,111.49.227.104(宁夏-吴忠),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
126,2026/8/6 18:45:08,216秒,微信,,27.193.106.98(山东-青岛),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
127,2026/8/6 18:45:20,100秒,微信,,39.80.109.24(山东-威海),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
128,2026/8/6 18:45:32,23秒,微信,,223.104.194.166(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
129,2026/8/6 18:50:12,85秒,微信,,112.224.7.74(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,好,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
130,2026/8/6 18:51:07,23秒,微信,,112.7.200.0(山东-菏泽),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
131,2026/8/6 18:51:48,65秒,微信,,223.160.223.223(福建-福州),2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,(空),45.0,55.0,60.0,60.0,54.75,2,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,16
132,2026/8/6 18:51:55,206秒,手机提交,直接访问,39.144.110.60(山东-临沂),1,1,3,2,3,3,3,2,1,3,3,3,2,1,2,1,2,1,1,1,无,35.0,55.0,50.0,30.0,43.75,1,3,3,3,2,1,2,1,1,3,2,3,3,3,2,1,2,1,1,1,16
133,2026/8/6 18:52:27,57秒,微信,,120.225.133.195(山东-济南),2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,(空),40.0,40.0,45.0,40.0,41.25,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,16
134,2026/8/6 18:54:28,374秒,微信,,223.104.194.113(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
135,2026/8/6 18:55:30,56秒,手机提交,直接访问,183.252.25.135(福建-漳州),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
136,2026/8/6 19:00:08,32秒,微信,,125.121.96.72(浙江-杭州),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,无,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
137,2026/8/6 19:01:56,125秒,微信,,111.49.204.240(宁夏-银川),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
138,2026/8/6 19:02:07,29秒,微信,,119.185.203.208(山东-枣庄),1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,(空),30.0,20.0,20.0,30.0,24.5,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,16
139,2026/8/6 19:03:26,86秒,微信,,223.96.113.15(山东-东营),2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,(空),40.0,30.0,20.0,25.0,29.0,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,16
140,2026/8/6 19:05:42,131秒,手机提交,直接访问,223.104.194.253(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
141,2026/8/6 19:06:04,109秒,微信,,223.104.196.239(山东-菏泽),1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,无,20.0,20.0,20.0,35.0,23.0,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,16
142,2026/8/6 19:07:39,36秒,微信,,112.224.202.252(山东-烟台),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
143,2026/8/6 19:08:00,23秒,微信,,220.168.84.222(湖南-长沙),3,3,3,3,3,2,3,4,3,3,2,2,4,2,3,2,2,3,4,3,(空),60.0,60.0,50.0,55.0,56.5,3,3,2,2,4,2,3,2,3,3,3,3,2,3,4,3,2,3,4,3,16
144,2026/8/6 19:14:52,107秒,微信,,111.17.109.75(山东-淄博),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
145,2026/8/6 19:16:08,108秒,手机提交,直接访问,223.97.171.89(山东-潍坊),2,1,2,2,2,2,2,1,1,3,1,1,1,1,1,1,2,3,2,2,无,35.0,35.0,30.0,20.0,30.75,2,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,3,2,2,16
146,2026/8/6 19:16:35,91秒,微信,,223.104.194.121(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,16
147,2026/8/6 19:16:43,44秒,微信,,112.54.83.82(山东-青岛),3,3,1,4,4,2,2,1,2,1,1,1,3,3,2,1,2,3,2,2,无,55.0,45.0,25.0,45.0,42.5,3,1,1,1,3,3,2,1,3,1,4,4,2,2,1,2,2,3,2,2,16
148,2026/8/6 19:16:54,116秒,微信,,223.104.194.118(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,没有不舒适,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,16
149,2026/8/6 19:17:20,160秒,微信,,112.54.83.82(山东-青岛),2,2,2,3,4,3,3,2,2,4,2,2,2,1,1,2,2,3,1,2,挺好的,45.0,60.0,50.0,30.0,47.75,2,4,2,2,2,1,1,2,2,2,3,4,3,3,2,2,2,3,1,2,16
150,2026/8/6 19:17:27,23秒,微信,,112.54.83.82(山东-青岛),1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,3,1,无,20.0,20.0,25.0,25.0,22.25,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,1,16
151,2026/8/6 19:17:28,119秒,微信,,223.104.194.218(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,多考察不同人群的情况，因人而异，多实践多总结,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
152,2026/8/6 19:17:42,135秒,微信,,112.54.83.82(山东-青岛),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
153,2026/8/6 19:17:52,77秒,微信,,223.104.194.86(山东-济南),3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,无,45.0,40.0,40.0,40.0,41.25,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
154,2026/8/6 19:18:41,83秒,微信,,112.224.164.5(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
155,2026/8/6 19:25:24,32秒,微信,,112.224.9.180(山东-济南),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,无,40.0,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
156,2026/8/6 19:25:44,76秒,微信,,119.181.30.124(山东-济宁),1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,(空),35.0,40.0,40.0,40.0,38.75,1,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,16
157,2026/8/6 19:27:32,37秒,手机提交,直接访问,120.225.96.219(山东-临沂),2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),40.0,25.0,20.0,20.0,26.5,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,16
158,2026/8/6 19:27:48,48秒,手机提交,直接访问,111.35.11.131(山东-威海),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
159,2026/8/6 19:28:54,35秒,手机提交,直接访问,120.225.96.219(山东-临沂),2,1,2,2,1,1,1,1,1,1,1,1,3,1,2,2,1,3,2,1,(空),35.0,20.0,20.0,40.0,27.75,2,1,1,1,3,1,2,2,1,2,2,1,1,1,1,1,1,3,2,1,16
160,2026/8/6 19:29:08,83秒,手机提交,直接访问,111.17.84.153(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
161,2026/8/6 19:29:32,34秒,手机提交,直接访问,120.225.96.219(山东-临沂),2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,(空),35.0,40.0,40.0,25.0,35.75,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,16
162,2026/8/6 19:30:59,50秒,手机提交,直接访问,223.104.196.87(山东-济宁),2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,(空),40.0,40.0,55.0,40.0,43.75,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
163,2026/8/6 19:31:43,66秒,微信,,113.201.75.115(陕西-渭南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
164,2026/8/6 19:32:01,41秒,手机提交,直接访问,223.104.151.251(江苏-徐州),1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,无,20.0,30.0,25.0,35.0,27.25,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,16
165,2026/8/6 19:32:09,64秒,手机提交,直接访问,223.104.196.87(山东-济宁),3,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,2,2,(空),55.0,40.0,45.0,50.0,47.0,3,2,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,16
166,2026/8/6 19:32:11,104秒,手机提交,直接访问,120.225.96.219(山东-临沂),2,1,2,2,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,(空),35.0,35.0,25.0,25.0,30.5,2,1,1,1,1,1,1,2,1,2,2,1,1,2,3,2,1,1,1,1,16
167,2026/8/6 19:35:21,170秒,手机提交,直接访问,120.225.96.219(山东-临沂),1,2,2,2,2,2,1,1,2,1,1,2,3,1,2,2,2,2,3,2,(空),35.0,30.0,30.0,40.0,33.25,1,1,1,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,16
168,2026/8/6 19:36:08,32秒,手机提交,直接访问,223.80.50.224(山东-青岛),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,(空),20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
169,2026/8/6 19:36:16,69秒,手机提交,直接访问,223.104.194.78(山东-济南),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,没有,20.0,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
