review_text,image_path,audio_path,tech_empowerment,visitor_experience,cultural_value,economic_social_gain,q1,q10,q11,q12,q13,q14,q15,q16,q2,q3,q4,q5,q6,q7,q8,q9,q17,q18,q19,q20,提交答卷时间,所用时间,来源,来源详情,17. 这项服务让不同年龄、语言或身体条件的人更容易参与文旅活动。,19. 如果下次再次到访，我愿意继续使用这项服务，并愿意向亲友推荐它。,21. 如果您觉得这次AI文旅体验不舒适，请具体说明:不舒适发生在什么场景或哪项功能中?主要原因是什么?您出现了哪些身体或心理感受（如眩晕、眼疲劳、头痛、紧张、信息过载、被打扰、缺少真实感、隐私担忧等）?您希望如何改进?【开放题】,valid_items,target_score
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:54:28,374秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 18:55:30,56秒,手机提交,直接访问,1,1,(空),16,20.0
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:00:08,32秒,微信,,2,2,无,16,40.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:01:56,125秒,微信,,1,1,无,16,20.0
(空),,,30.0,20.0,20.0,30.0,1,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2026/8/6 19:02:07,29秒,微信,,1,1,(空),16,24.5
(空),,,40.0,30.0,20.0,25.0,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2026/8/6 19:03:26,86秒,微信,,1,1,(空),16,29.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:05:42,131秒,手机提交,直接访问,1,1,无,16,20.0
无,,,20.0,20.0,20.0,35.0,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2026/8/6 19:06:04,109秒,微信,,2,2,无,16,23.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:07:39,36秒,微信,,1,1,无,16,20.0
(空),,,60.0,60.0,50.0,55.0,3,3,2,2,4,2,3,2,3,3,3,3,2,3,4,3,2,3,4,3,2026/8/6 19:08:00,23秒,微信,,2,4,(空),16,56.5
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:14:52,107秒,微信,,1,1,(空),16,20.0
无,,,35.0,35.0,30.0,20.0,2,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,3,2,2,2026/8/6 19:16:08,108秒,手机提交,直接访问,2,2,无,16,30.75
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2026/8/6 19:16:35,91秒,微信,,1,3,(空),16,20.0
无,,,55.0,45.0,25.0,45.0,3,1,1,1,3,3,2,1,3,1,4,4,2,2,1,2,2,3,2,2,2026/8/6 19:16:43,44秒,微信,,2,2,无,16,42.5
没有不舒适,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2026/8/6 19:16:54,116秒,微信,,1,1,没有不舒适,16,20.0
挺好的,,,45.0,60.0,50.0,30.0,2,4,2,2,2,1,1,2,2,2,3,4,3,3,2,2,2,3,1,2,2026/8/6 19:17:20,160秒,微信,,2,1,挺好的,16,47.75
无,,,20.0,20.0,25.0,25.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,1,2026/8/6 19:17:27,23秒,微信,,2,3,无,16,22.25
多考察不同人群的情况，因人而异，多实践多总结,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:17:28,119秒,微信,,1,1,多考察不同人群的情况，因人而异，多实践多总结,16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:17:42,135秒,微信,,2,2,(空),16,40.0
无,,,45.0,40.0,40.0,40.0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:17:52,77秒,微信,,2,2,无,16,41.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:18:41,83秒,微信,,1,1,无,16,20.0
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:25:24,32秒,微信,,2,2,无,16,40.0
(空),,,35.0,40.0,40.0,40.0,1,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:25:44,76秒,微信,,2,2,(空),16,38.75
(空),,,40.0,25.0,20.0,20.0,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2026/8/6 19:27:32,37秒,手机提交,直接访问,1,1,(空),16,26.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:27:48,48秒,手机提交,直接访问,1,1,无,16,20.0
(空),,,35.0,20.0,20.0,40.0,2,1,1,1,3,1,2,2,1,2,2,1,1,1,1,1,1,3,2,1,2026/8/6 19:28:54,35秒,手机提交,直接访问,1,2,(空),16,27.75
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:29:08,83秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,35.0,40.0,40.0,25.0,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2026/8/6 19:29:32,34秒,手机提交,直接访问,1,1,(空),16,35.75
(空),,,40.0,40.0,55.0,40.0,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:30:59,50秒,手机提交,直接访问,2,2,(空),16,43.75
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:31:43,66秒,微信,,1,1,无,16,20.0
无,,,20.0,30.0,25.0,35.0,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2026/8/6 19:32:01,41秒,手机提交,直接访问,1,1,无,16,27.25
(空),,,55.0,40.0,45.0,50.0,3,2,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:32:09,64秒,手机提交,直接访问,2,2,(空),16,47.0
(空),,,35.0,35.0,25.0,25.0,2,1,1,1,1,1,1,2,1,2,2,1,1,2,3,2,1,1,1,1,2026/8/6 19:32:11,104秒,手机提交,直接访问,1,1,(空),16,30.5
(空),,,35.0,30.0,30.0,40.0,1,1,1,2,3,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2026/8/6 19:35:21,170秒,手机提交,直接访问,2,3,(空),16,33.25
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:36:08,32秒,手机提交,直接访问,1,1,(空),16,20.0
没有,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:36:16,69秒,手机提交,直接访问,1,1,没有,16,20.0
(空),,,25.0,30.0,30.0,30.0,1,2,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2026/8/6 19:36:37,23秒,手机提交,直接访问,1,2,(空),16,28.75
没有的,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:37:19,57秒,手机提交,直接访问,1,1,没有的,16,20.0
无,,,45.0,40.0,40.0,45.0,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:38:28,54秒,微信,,2,2,无,16,42.25
无,,,40.0,35.0,30.0,35.0,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,3,1,2,1,3,2026/8/6 19:39:47,89秒,微信,,1,1,无,16,35.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:47:31,39秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 19:47:40,529秒,手机提交,直接访问,1,1,(空),16,20.0
暂无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 19:49:03,26秒,微信,,2,2,暂无,16,40.0
无,,,40.0,40.0,35.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2026/8/6 20:02:18,38秒,微信,,2,2,无,16,38.75
无,,,20.0,20.0,20.0,35.0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2026/8/6 20:02:48,46秒,微信,,1,1,无,16,23.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:02:51,38秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:02:52,54秒,微信,,1,1,无,16,20.0
(空),,,30.0,30.0,20.0,25.0,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,4,1,1,2026/8/6 20:04:42,130秒,微信,,2,1,(空),16,26.5
没有什么不适 再接再厉加油呀,,,40.0,35.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2026/8/6 20:05:03,113秒,微信,,2,1,没有什么不适 再接再厉加油呀,16,38.5
(空),,,45.0,45.0,40.0,45.0,1,3,1,1,3,3,1,2,2,3,3,2,2,2,3,3,2,3,2,2,2026/8/6 20:05:04,113秒,微信,,2,2,(空),16,43.75
没有不舒服,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:06:15,250秒,微信,,1,1,没有不舒服,16,20.0
(空),,,30.0,30.0,20.0,25.0,2,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,3,3,1,1,2026/8/6 20:10:10,169秒,微信,,3,1,(空),16,26.5
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:10:46,29秒,微信,,1,1,(空),16,20.0
(空),,,35.0,30.0,25.0,35.0,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2026/8/6 20:11:15,321秒,手机提交,直接访问,2,1,(空),16,31.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:11:19,54秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:13:07,128秒,微信,,1,1,(空),16,20.0
(空),,,30.0,30.0,20.0,20.0,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2026/8/6 20:13:18,173秒,微信,,1,1,(空),16,25.5
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:16:07,713秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:21:41,24秒,微信,,1,1,(空),16,20.0
无,,,40.0,35.0,30.0,40.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2026/8/6 20:25:00,63秒,微信,,2,2,无,16,36.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:25:52,33秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:28:57,89秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:29:51,30秒,微信,,1,1,无,16,20.0
AI反应不够及时，偶尔会理解错意思,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 20:31:44,78秒,手机提交,直接访问,2,2,AI反应不够及时，偶尔会理解错意思,16,40.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:31:45,57秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 20:35:56,26秒,手机提交,直接访问,2,2,(空),16,40.0
没有不要舒适的地方,,,35.0,35.0,45.0,40.0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2026/8/6 20:36:16,167秒,微信,,2,2,没有不要舒适的地方,16,38.5
无,,,30.0,40.0,40.0,40.0,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 20:37:45,44秒,微信,,2,2,无,16,37.5
(空),,,35.0,40.0,45.0,40.0,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 20:40:04,234秒,手机提交,直接访问,2,2,(空),16,40.0
(空),,,25.0,35.0,25.0,30.0,1,2,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2026/8/6 20:42:13,36秒,微信,,1,2,(空),16,29.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:44:03,26秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 20:44:40,28秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 21:40:55,42秒,微信,,1,1,(空),16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 22:23:35,143秒,手机提交,直接访问,2,2,(空),16,40.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 22:31:05,87秒,微信,,1,1,(空),16,20.0
(空),,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/6 22:39:09,125秒,微信,,2,2,(空),16,40.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2026/8/6 23:10:35,24秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/6 23:10:43,40秒,微信,,1,1,(空),16,20.0
(空),,,40.0,35.0,30.0,40.0,2,3,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,3,1,2026/8/6 23:11:13,19秒,微信,,1,3,(空),16,36.0
无,,,40.0,40.0,40.0,40.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2026/8/7 0:36:07,97秒,手机提交,直接访问,2,2,无,16,40.0
(空),,,40.0,20.0,20.0,20.0,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2026/8/7 7:32:53,159秒,微信,,1,1,(空),16,25.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 7:45:23,23秒,微信,,1,1,(空),16,20.0
(空),,,40.0,50.0,45.0,45.0,2,3,2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2026/8/7 9:23:27,187秒,微信,,2,2,(空),16,45.25
无不适,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:24:08,151秒,微信,,1,1,无不适,16,20.0
无,,,20.0,20.0,20.0,25.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2026/8/7 9:24:14,22秒,微信,,1,2,无,16,21.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:24:49,51秒,微信,,1,1,(空),16,20.0
wu,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:25:16,132秒,微信,,1,1,wu,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:26:27,45秒,微信,,1,1,(空),16,20.0
无,,,25.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:28:31,98秒,微信,,1,1,无,16,21.25
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:29:10,114秒,微信,,1,1,(空),16,20.0
非常好,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:36:17,108秒,微信,,1,1,非常好,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:36:20,146秒,微信,,1,1,(空),16,20.0
(空),,,45.0,45.0,45.0,45.0,2,2,2,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2026/8/7 9:40:50,55秒,微信,,2,2,(空),16,45.0
没有挺好的,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 9:43:34,345秒,微信,,1,1,没有挺好的,16,20.0
没有,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:09:57,37秒,手机提交,直接访问,1,1,没有,16,20.0
没有,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:11:47,86秒,微信,,1,1,没有,16,20.0
广告太多，功能不够全面,,,60.0,60.0,60.0,60.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2026/8/7 10:13:06,137秒,微信,,3,3,广告太多，功能不够全面,16,60.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:25:36,113秒,微信,,1,1,(空),16,20.0
很好,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:26:02,91秒,微信,,1,1,很好,16,20.0
没有不舒适,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:32:11,146秒,微信,,1,1,没有不舒适,16,20.0
(空),,,25.0,30.0,30.0,20.0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,1,1,2026/8/7 10:34:51,176秒,微信,,1,1,(空),16,26.75
(空),,,25.0,35.0,25.0,20.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,3,2026/8/7 10:38:12,2540秒,微信,,2,2,(空),16,27.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 10:50:03,88秒,微信,,1,1,(空),16,20.0
可以可以,,,65.0,60.0,70.0,70.0,2,4,4,3,4,4,4,2,5,4,2,4,2,3,3,3,3,2,4,4,2026/8/7 10:51:48,258秒,微信,,3,4,可以可以,16,65.75
(空),,,20.0,35.0,35.0,20.0,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,2,2,2,2026/8/7 10:55:36,147秒,微信,,1,2,(空),16,28.25
1145,,,35.0,30.0,25.0,20.0,1,2,1,1,1,1,1,1,1,3,2,1,1,1,3,1,3,5,3,1,2026/8/7 11:00:30,200秒,微信,,3,3,1145,16,28.0
并无任何不适，是非常人性化的ai服务内容,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:08:29,108秒,微信,,1,1,并无任何不适，是非常人性化的ai服务内容,16,20.0
无,,,25.0,45.0,45.0,35.0,1,3,2,2,2,2,2,1,1,1,2,3,2,2,2,2,1,1,2,1,2026/8/7 11:13:50,3002秒,微信,,1,2,无,16,38.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:18:46,108秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:22:49,66秒,微信,,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:27:04,39秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:27:04,45秒,微信,,1,1,无,16,20.0
没有上述的问题,,,20.0,20.0,25.0,40.0,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:30:31,197秒,微信,,1,1,没有上述的问题,16,25.25
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:32:13,105秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:32:19,120秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:32:36,47秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 11:42:43,271秒,微信,,1,1,(空),16,20.0
(空),,,20.0,55.0,50.0,50.0,1,2,3,2,2,2,2,4,1,1,1,1,4,4,2,3,3,1,2,3,2026/8/7 11:43:52,131秒,微信,,3,2,(空),16,44.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:01:11,81秒,微信,,1,1,无,16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:11:29,34秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:12:40,34秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:13:17,39秒,微信,,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:21:28,48秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:36:32,27秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:37:39,28秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:41:36,44秒,微信,,1,1,无,16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 12:52:28,110秒,微信,,1,1,无,16,20.0
无,,,20.0,35.0,25.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2026/8/7 13:03:56,36秒,微信,,1,1,无,16,25.75
(空),,,50.0,20.0,20.0,20.0,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:05:14,44秒,微信,,1,1,(空),16,27.5
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:08:21,172秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:31:53,23秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:34:19,21秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:37:29,161秒,微信,,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 13:59:16,120秒,手机提交,直接访问,1,1,(空),16,20.0
(空),,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 14:12:41,29秒,微信,,1,1,(空),16,20.0
无,,,20.0,20.0,20.0,20.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2026/8/7 14:15:19,423秒,微信,,1,1,无,16,20.0
无,,,45.0,30.0,50.0,45.0,3,3,3,3,2,3,3,1,1,2,3,2,2,1,1,1,3,1,3,3,2026/8/7 14:37:21,74秒,链接,直接访问,3,3,无,16,41.75
无,,,65.0,70.0,80.0,80.0,3,4,5,3,3,3,5,5,4,3,3,3,3,3,5,4,3,5,3,3,2026/8/7 14:37:41,111秒,链接,直接访问,3,3,无,16,73.25
无,,,95.0,70.0,75.0,85.0,4,4,3,4,3,4,5,5,5,5,5,3,3,5,3,4,4,4,3,5,2026/8/7 14:38:06,100秒,链接,直接访问,4,3,无,16,80.5
无,,,45.0,35.0,45.0,45.0,3,1,3,3,1,2,3,3,1,3,2,1,3,2,1,2,1,3,3,3,2026/8/7 14:38:14,83秒,链接,直接访问,1,3,无,16,42.0
